Rank,Game,Month,Year,Hours_watched,Avg_viewers,Avg_channels,Avg_viewer_ratio
14,Overwatch,1,2020,14476204,19483,1099,17.71
40,StarCraft II,1,2020,3709550,4992,83,59.86
131,Dofus,1,2020,649652,874,24,35.35
1,League of Legends,2,2020,121635889,175015,3668,47.71
4,Counter-Strike: Global Offensive,2,2020,49796451,71649,1633,43.87
8,World of Warcraft,2,2020,31740780,45670,1452,31.45
10,Hearthstone,2,2020,19173902,27588,195,141.16
14,Overwatch,2,2020,15337803,22068,1070,20.61
25,StarCraft II,2,2020,5013370,7213,79,90.43
138,Dofus,2,2020,559023,804,22,36.03
1,League of Legends,3,2020,123599885,166352,4122,40.36
4,Counter-Strike: Global Offensive,3,2020,66797699,89902,2034,44.19
10,Hearthstone,3,2020,23909476,32179,236,136.24
13,World of Warcraft,3,2020,20337340,27371,1475,18.55
15,Overwatch,3,2020,15595432,20989,1171,17.91
34,StarCraft II,3,2020,4255219,5727,95,59.97
107,Dofus,3,2020,917484,1234,34,36.3
3,League of Legends,4,2020,135859472,188956,4814,39.25
5,Counter-Strike: Global Offensive,4,2020,86673161,120546,2755,43.75
10,World of Warcraft,4,2020,33013013,45915,1844,24.89
11,Hearthstone,4,2020,29294664,40743,350,116.12
21,Overwatch,4,2020,13708585,19066,1217,15.65
37,StarCraft II,4,2020,4516712,6281,106,58.79
88,Dofus,4,2020,1422736,1978,54,36.48
3,League of Legends,5,2020,127698472,171868,4734,36.3
7,Counter-Strike: Global Offensive,5,2020,76786808,103346,2400,43.05
11,World of Warcraft,5,2020,36702327,49397,1882,26.24
14,Hearthstone,5,2020,22611511,30432,278,109.41
18,Overwatch,5,2020,14819259,19945,1259,15.84
40,StarCraft II,5,2020,4983021,6706,114,58.43
169,Dofus,5,2020,724589,975,33,29.15
2,League of Legends,6,2020,143290296,199291,4168,47.8
7,Counter-Strike: Global Offensive,6,2020,76001332,105704,1952,54.14
11,World of Warcraft,6,2020,32400568,45063,1557,28.93
15,Hearthstone,6,2020,20047047,27881,226,123.07
18,Overwatch,6,2020,15364110,21368,1139,18.75
37,StarCraft II,6,2020,4829641,6717,104,64.48
189,Dofus,6,2020,522350,726,24,29.9
2,League of Legends,7,2020,135123272,181861,4372,41.59
8,Counter-Strike: Global Offensive,7,2020,41902442,56396,1597,35.3
10,World of Warcraft,7,2020,35243547,47434,1614,29.38
12,Hearthstone,7,2020,21672730,29169,224,129.71
17,Overwatch,7,2020,17368052,23375,1189,19.65
37,StarCraft II,7,2020,5831241,7848,102,76.27
2,League of Legends,8,2020,142551572,191859,4375,43.85
8,Counter-Strike: Global Offensive,8,2020,48243344,64930,1441,45.04
12,World of Warcraft,8,2020,30251347,40715,1652,24.64
14,Hearthstone,8,2020,25341485,34106,256,132.91
18,Overwatch,8,2020,12834847,17274,1112,15.53
46,StarCraft II,8,2020,4155795,5593,106,52.57
156,StarCraft,8,2020,754594,1015,18,55.96
185,Dofus,8,2020,573223,771,25,29.95
3,League of Legends,9,2020,135008222,187772,4415,42.53
7,Counter-Strike: Global Offensive,9,2020,53623137,74580,1432,52.07
12,World of Warcraft,9,2020,28332755,39405,1498,26.29
15,Hearthstone,9,2020,20863959,29018,240,120.74
20,Overwatch,9,2020,12981536,18054,1045,17.27
44,StarCraft II,9,2020,5104967,7100,90,78.33
102,StarCraft,9,2020,1382907,1923,20,95.06
123,Dofus,9,2020,1024725,1425,33,42.64
2,League of Legends,10,2020,171613067,230973,4531,50.97
7,Counter-Strike: Global Offensive,10,2020,58560804,78816,1532,51.44
13,World of Warcraft,10,2020,33429794,44992,1509,29.82
16,Hearthstone,10,2020,24271349,32666,255,127.7
24,Overwatch,10,2020,12686221,17074,1110,15.38
44,StarCraft II,10,2020,4431786,5964,87,67.88
55,Dofus,10,2020,3665436,4933,62,78.61
103,StarCraft,10,2020,1354518,1823,20,88.46
2,League of Legends,11,2020,121085351,168407,4718,35.69
6,Counter-Strike: Global Offensive,11,2020,60714096,84442,1804,46.79
7,World of Warcraft,11,2020,54668977,76034,2376,31.99
15,Hearthstone,11,2020,28364535,39449,294,133.99
28,Overwatch,11,2020,12073850,16792,1042,16.1
43,StarCraft II,11,2020,5461062,7595,89,84.87
119,Dofus,11,2020,1189429,1654,46,35.55
168,StarCraft,11,2020,710624,988,20,48.34
3,League of Legends,12,2020,96413165,129761,4437,29.24
4,World of Warcraft,12,2020,90202480,121403,3154,38.48
9,Counter-Strike: Global Offensive,12,2020,60757021,81772,1919,42.6
16,Hearthstone,12,2020,25720299,34616,262,131.71
24,Overwatch,12,2020,13597110,18300,1075,17.02
47,StarCraft II,12,2020,4072316,5480,83,65.87
103,StarCraft,12,2020,1511704,2034,24,81.49
158,Dofus,12,2020,848603,1142,32,34.65
3,League of Legends,1,2021,170781975,229854,5860,39.22
9,Counter-Strike: Global Offensive,1,2021,60899705,81964,2247,36.48
12,World of Warcraft,1,2021,44718092,60185,2566,23.45
17,Hearthstone,1,2021,24208283,32581,274,118.76
24,Overwatch,1,2021,15430328,20767,1272,16.32
52,StarCraft II,1,2021,3964940,5336,88,60.07
156,Dofus,1,2021,875675,1178,36,32.5
189,StarCraft,1,2021,601363,809,25,31.31
2,League of Legends,2,2021,150221076,223876,5463,40.98
8,Counter-Strike: Global Offensive,2,2021,67578481,100713,2245,44.84
15,World of Warcraft,2,2021,29403463,43820,2097,20.89
22,Hearthstone,2,2021,18929798,28211,252,111.51
27,Overwatch,2,2021,12638505,18835,1257,14.98
46,StarCraft II,2,2021,4923188,7337,86,84.74
155,StarCraft,2,2021,913191,1360,25,53.51
187,Dofus,2,2021,660610,984,35,27.72
3,League of Legends,3,2021,149786518,201596,5069,39.76
8,Counter-Strike: Global Offensive,3,2021,72375036,97409,2188,44.5
12,World of Warcraft,3,2021,34198319,46027,1893,24.31
17,Hearthstone,3,2021,22340994,30068,264,113.57
26,Overwatch,3,2021,13825073,18607,1161,16.02
61,StarCraft II,3,2021,3736145,5028,85,58.7
200,StarCraft,3,2021,767923,1033,22,45.94
3,League of Legends,4,2021,156994170,218350,4996,43.7
8,Counter-Strike: Global Offensive,4,2021,70072819,97458,2037,47.83
12,World of Warcraft,4,2021,28935795,40244,1633,24.63
16,Hearthstone,4,2021,23090076,32114,286,112.19
30,Overwatch,4,2021,12239978,17023,1116,15.24
71,StarCraft II,4,2021,3296403,4584,84,54.08
86,StarCraft,4,2021,2461132,3422,22,152.58
115,Dofus,4,2021,1720155,2392,57,41.69
3,League of Legends,5,2021,174012672,234202,4732,49.49
8,Counter-Strike: Global Offensive,5,2021,75670449,101844,1858,54.81
14,World of Warcraft,5,2021,34319608,46190,1512,30.53
18,Hearthstone,5,2021,22281591,29988,243,122.93
26,Overwatch,5,2021,12292040,16543,1036,15.96
58,StarCraft II,5,2021,4189696,5638,81,69.31
123,StarCraft,5,2021,1483097,1996,23,84.38
162,Dofus,5,2021,1018662,1371,39,34.43
3,League of Legends,6,2021,147594315,205277,4247,48.33
